id,parentId,type,title,description,showHexagon,vip
word,export,,word,,,
docx,export,,docx,,,1
localDatabase,database,,本地数据中心管理,,,
exportDatabase,database,,导出数据中心,,,
customSyncDatabase,database,,远程数据中心同步,,,1
indexDatabaseManager,database,,数据库索引管理,,,
destroyDatabase,database,,删除数据库,,,
xiaoshujiangDatabase,customSyncDatabase,,小书匠数据中心,,,1
customHostDatabase,customSyncDatabase,,自定义数据服务器,,,1
couchDBDatabase,customSyncDatabase,,CouchDB数据中心,,,1
pouchDBDatabase,customSyncDatabase,,PouchDB Server,,,1
IBMCloudantDatabase,customSyncDatabase,, IBM Cloudant,,,1
account,main,,帐户中心,,,1
customConfig,account,,隔离的配置功能,,,1
invitation,account,,邀请奖励会员,,,1
customSyncConfig,account,,配置参数同步,,,1
exportConfig,account,,导出配置参数,,,1
hotupgradeClient,client,,客户端第一时间获得最新版本,,,１
platform,main,,平台,,,
client,platform,,客户端,,,
web,platform,,Web端,,,
websupport,web,,支持平台,,,
chrome,websupport,,支持chrome浏览器,,,
firefox,websupport,,支持firefox浏览器,,,
safari,websupport,,支持safari浏览器,,,
edge,websupport,,支持最新版的 edge　浏览器,,,
clientsupport,client,,客户端支持平台,,,
window,clientsupport,,Window7/8/10,,,
fedora,clientsupport,,Fedora,,,
ubuntu,clientsupport,,Ubuntu,,,
mac,clientsupport,,Mac,,,
relatedopenmd,client,,支持右键关联打开,,,
clientshortbind,client,,支持全局快捷键绑定,,,
lockclient,client,,锁功能,,,
trayclient,client,,托盘显示,,,
multipleWeb,web,,多标签同时打开,,,
httpsWeb,web,,https安全访问,,,
pdfPreviewWeb,web,,pdf预览,,,
